人物,出现次数
刘备,1025
诸葛亮,988
曹操,934
关羽,602
二人,465
孔明曰,385
玄德曰,383
张飞,348
吕布,300
孙权,264
赵云,255
魏兵,223
司马懿,221
周瑜,217
魏延,212
袁绍,190
夏侯,185
马超,185
姜维,179
黄忠,168
