word,freq
doubt,335
signific,11
discoveri,28
interest,343
practic,120
medico,4
legal,20
infal,5
coat,92
sleev,45
eager,60
drew,107
let,419
fresh,117
dig,22
finger,112
result,109
drop,127
add,34
quantiti,6
water,132
mixtur,15
pure,34
proport,7
million,26
obtain,42
characterist,22
reaction,13
vessel,13
white,226
crystal,6
transpar,6
instant,275
assum,26
dull,49
brownish,5
dust,33
bottom,52
jar,5
clap,27
child,125
toy,4
delic,37
beauti,102
clumsi,13
uncertain,14
examin,241
hour,364
act,109
invent,18
hundr,151
ago,118
pay,140
crime,225
murmur,35
crimin,133
hing,17
point,455
suspect,59
commit,57
linen,13
cloth,82
mud,23
rust,5
fruit,11
puzzl,43
expert,30
reliabl,6
longer,54
difficulti,116
fairli,57
glitter,12
put,431
heart,240
conjur,7
congratul,28
surpris,224
von,46
hung,54
mason,30
notori,7
montpelli,6
name,448
score,20
decis,13
might,611
paper,516
call,323
polic,283
news,107
past,184
read,281
piec,70
plaster,32
prick,9
smile,197
dabbl,5
poison,57
good,955
deal,125
notic,112
mottl,12
similar,18
discolour,17
acid,6
busi,307
sit,464
high,212
leg,88
stool,7
anoth,235
direct,181
complain,11
thought,574
suit,65
baker,123
smell,37
tobacco,48
hope,289
alway,266
smoke,125
ship,52
gener,87
experi,99
annoy,29
mean,307
sulki,5
confess,115
two,896
bad,136
cross,114
keep,339
bull,15
row,34
nerv,72
shake,168
sort,118
extrem,72
set,239
vice,7
princip,21
present,225
includ,14
violin,19
play,133
anxious,7
depend,45
player,6
treat,43
god,141
badli,23
merri,10
consid,81
settl,84
noon,5
morrow,102
everyth,123
exactli,154
leave,538
among,210
suddenli,187
stop,123
deuc,6
enigmat,8
peculiar,62
peopl,168
rub,37
piquant,4
oblig,42
proper,15
mankind,5
bid,13
bye,29
wager,6
stroll,25
acquaint,54
inspect,21
221b,6
consist,21
coupl,67
bed,156
singl,83
larg,200
cheer,27
furnish,46
illumin,9
window,516
desir,91
everi,428
apart,41
term,46
divid,19
bargain,11
spot,72
move,143
sever,183
employ,80
lay,409
properti,35
best,192
advantag,45
gradual,18
accommod,4
ourselv,116
surround,36
difficult,73
regular,18
rare,21
ten,160
invari,13
breakfast,95
rise,232
sometim,68
portion,18
citi,77
exceed,7
energi,71
fit,87
lie,232
sofa,38
utter,38
word,492
muscl,12
occas,63
dreami,4
vacant,14
cleanli,4
whole,284
forbid,18
notion,8
curio,40
aim,9
deepen,6
increas,29
person,222
attent,137
casual,6
observ,247
height,38
lean,98
tall,93
sharp,88
pierc,15
save,209
dure,180
interv,18
allud,18
hawk,4
nose,53
alert,33
chin,39
promin,8
squar,86
mark,237
blot,9
ink,22
extraordinari,99
delicaci,13
touch,104
frequent,35
watch,167
philosoph,4
instrument,23
reader,19
hopeless,16
busybodi,4
stimul,13
often,83
endeavour,47
retic,11
concern,69
pronounc,12
judgment,26
rememb,223
engag,94
ventur,27
unless,65
weather,29
except,81
genial,10
monotoni,4
daili,27
eagerli,34
around,36
unravel,15
repli,44
confirm,25
opinion,79
pursu,30
entranc,25
world,146
zeal,4
certain,141
within,250
limit,47
extraordinarili,6
ampl,11
minut,244
astound,4
attain,16
precis,43
inform,132
view,101
seldom,44
burden,9
ignor,19
literatur,6
philosophi,4
polit,31
quot,13
inquir,39
incident,7
theori,114
composit,4
system,25
civil,13
human,70
centuri,25
awar,82
travel,71
sun,49
fact,327
forget,86
explain,130
brain,77
origin,56
attic,8
furnitur,23
fool,30
lumber,9
skil,6
workman,14
tool,19
help,305
assort,4
perfect,37
mistak,45
elast,8
extent,23
addit,19
someth,372
import,211
useless,22
elbow,23
protest,15
interrupt,39
impati,50
moon,27
differ,93
manner,147
unwelcom,5
ponder,11
acquir,15
bear,103
variou,22
pencil,30
jot,8
document,59
1,9
2,10
3,16
4,6
feebl,13
5,6
botani,4
opium,21
6,6
soil,14
splash,15
trouser,27
receiv,114
7,8
profound,11
8,4
9,6
sensat,23
immens,32
detail,129
horror,90
perpetr,8
10,6
11,9
boxer,4
law,102
list,28
fire,176
reconcil,9
accomplish,15
abov,140
power,177
request,25
favourit,12
music,20
arm,196
chair,278
close,287
scrape,8
carelessli,7
knee,69
melancholi,25
fantast,21
clearli,81
reflect,19
aid,45
whim,8
rebel,15
usual,110
termin,7
quick,112
success,102
seri,27
slight,55
compens,5
trial,23
patienc,25
friendless,4
societi,66
sallow,11
rat,21
lestrad,243
girl,125
fashion,140
dress,199
half,352
afternoon,62
grey,57
seedi,5
elderli,39
woman,400
hair,138
interview,49
railway,21
porter,32
uniform,14
individu,31
beg,71
retir,53
